id,aa375a52-df66-4aba-beb6-ceed90187ac4
input currency,GBP
quantity,1.000000

snapshot,2023-03-01
start,2023-03-01
end,2040-03-01
output currency,USD
unit,ABSOLUTE

Date,Amount,Type
2023-04-04T00:00:00Z,0.029235,RANGE_ACCRUAL_COUPON
2023-10-04T00:00:00Z,0.055459,RANGE_ACCRUAL_COUPON
2024-04-04T00:00:00Z,0.054562,RANGE_ACCRUAL_COUPON
2024-10-04T00:00:00Z,0.032845,RANGE_ACCRUAL_COUPON
2025-04-04T00:00:00Z,0.032845,RANGE_ACCRUAL_COUPON
2025-10-06T00:00:00Z,0.033210,RANGE_ACCRUAL_COUPON
2025-10-13T00:00:00Z,1.203100,PRINCIPAL
