Key,Value
US30303M1027,5a29f473-5c7e-4018-bd24-e2a5d9c7d70b
US5949181045,fbbced57-0b90-4556-ac31-1d0424bc9f9e
US6092071058,fb748b68-030e-46dc-a9d0-0e742aaf3926
US6541061031,484e52d2-ecd2-4ecd-892e-78ad0f0351fe
US67066G1040,94caa1f3-4444-4316-9796-1899789c4cd3
US6821891057,e3633209-0873-4a8b-802a-3bceb0e545e1
US6974351057,8a6b67da-0531-42fc-976e-c9eb14ee69b4
US7475251036,8a30f591-2e57-4e38-bc7b-e6e51a5b6bc8
US88160R1014,6160f2a9-e506-430a-959b-62ee18270fb7
US90353T1007,ea070642-b949-4e6c-82ca-b1a65e7c0aab
US92826C8394,b3a9d246-f77c-4eaa-992b-749b659aa0f2
US98978V1035,b282ce2d-6a8b-4ee0-bdff-d29eb9b00a13
US46090E1038,96f070e8-1e8a-4889-8503-aca192ffb2c2
US78462F1030,b1591cc0-f9ff-4255-99b8-d34cd4678391
US33734X8469,f80534e9-e0b4-45fc-ac51-0a139ffad85d
XS2883764925,
TKN 70925972,
TKN 90678563,
TKN 65102143,
TKN 90450085,
TKN 80650559,
TKN 85124463,
TKN 73382290,
TKN 81591652,
TKN 81590550,
TKN 67209799,
TKN 88129464,
TKN 87629394,
LU1071374836,3c73ed8d-704e-490a-87c8-62b08cd9e731
US46429B5984,f9f73e4d-707e-4ccd-b0a1-33e183b64bee
IE00BKM4GZ66,dba28809-3514-4500-8c72-50c3ebd3c755
US4642887370,666844d8-7c9e-447a-a251-61cbc7bc4149
US4642873255,8b566ee7-31f7-4ff1-9cd6-ddb6f9b45075
US92189F6016,d45d95a2-db0a-4132-821c-f8c7ad4110ad
IE00B579F325,79c03db4-2e7d-4f92-b8a8-1fb412b1e2ef
GB00BJYDH287,8e9004a8-a7d5-40a0-943f-8e5deeedc3d1
