id,marketCap,horizonPoC,horizonMD,horizonNoVolumes,horizonVolumes,esHistInno30D-Arcanist,esHistInno30D-ArcanistMD,esHistInno30D-Recco
4d6dd6ed-50a5-4315-b68d-965747dfbbe5,,,5,5,,0.107409,0.107409,0.107409
2fc7c6ae-21ac-4327-b2f9-c9fadb2fcb7f,,,5,5,,0.071882,0.071882,0.071882
c766d4bb-744d-4882-ae39-18ecf6266c2a,,,5,5,,0.108189,0.108189,0.108189
da2f578b-b37b-4db8-8fb5-650fc2e69b9d,,,5,5,,0.006221,0.006221,0.006221
ec1b253f-b5df-4ed2-8ca6-2bb722b7b241,,,20,20,,0.029328,0.029328,0.029328
e17abb4e-2f7e-4794-ae63-3103964282d9,,,5,5,,0.009813,0.009813,0.009813
d8677211-537b-49e6-9c6c-9aa8b91debb3,,,5,5,5,0.096827,0.096827,0.096827
38baa823-8ffd-4ed2-8be7-354f486e8f53,,,8,8,,0.000411,0.000411,0.000411
afb5d547-b1c3-47e1-a60e-6c68df68dbc2,,,5,5,,0.108624,0.108624,0.108624
c0857c26-55db-4110-8bf7-adc8adcd145a,,,5,5,4,0.136196,0.138184,0.138184
0773e7e8-0598-4e7c-9bbd-6cf905b4cbcd,,,5,5,,,,
7f05d36b-6a9d-4438-8c54-88250fa53bde,,,5,5,,0.032051,0.032051,0.032051
88d24c96-aad1-40d5-8719-8f33e6022dbd,,,5,5,,0.011959,0.011959,0.011959
dad173f1-9851-40de-a2f6-2ac7918a8d21,,,20,20,,0.017281,0.017281,0.017281
8eebe140-5122-4c5d-8429-aea4396ed136,,,5,5,,0.112456,0.112456,0.112456
77e60e80-4362-43fd-94c6-cbebaa8c406d,,,26,26,20,0.112151,0.118689,0.118689
ed0a616d-f7fb-45a5-ae66-f883df3c2827,,,5,5,,0.039271,0.039271,0.039271
cbbd7849-9232-4d6e-88cc-1dc321646319,,,5,5,,0.059571,0.059571,0.059571
c43eff1f-1645-4a6e-91a9-d9fd7d1d0541,,,5,5,2,0.076850,0.080371,0.080371
c605bde6-9a3a-4799-9d66-b340ca3636b4,,,5,5,2,0.120342,0.125856,0.125856
32732efa-2c65-4d79-8cd2-6fd256886f79,,,5,5,3,0.311373,0.320670,0.320670
6ec8fb50-e9b3-492c-9bf9-ebb5222723ae,,,5,5,,0.073635,0.073635,0.073635
03af179e-2ffc-4f03-8159-bd2fcdc8a5bb,,,5,5,5,0.085340,0.085340,0.085340
3d85db05-966d-4624-abbb-a95c6183aa23,,,5,5,,0.066741,0.066741,0.066741
12b34e1d-7caf-4eee-b039-5461b293b471,,,5,0,,,0.355052,0.355052
fe5b9a2e-976f-48d6-ab15-0993ee0dd415,,,5,5,,0.080350,0.080350,0.080350
09c6da45-62b5-49de-8d09-8a02ce7a6bf0,,,5,5,,0.091430,0.091430,0.091430
27e997c3-6056-4278-9504-43500499ba2c,,,5,5,,0.087533,0.087533,0.087533
52d8fe79-7718-496b-878c-68318a84e03a,,,0,0,,0.045683,0.045683,0.045683
e3e7659e-bbf1-40d7-ad56-69888fcb363f,,,5,0,0,,0.462967,0.462967
cf263fa3-1437-4d19-b054-3ba56ee04ea1,,,5,5,,0.012150,0.012150,0.012150
c8146943-a117-4eaa-a229-68cfd7521be9,,,5,5,,0.072575,0.072575,0.072575
094c16ba-51c7-412d-9de9-30bd898e09c4,,,5,5,5,0.094134,0.094134,0.094134
d853701d-3619-4669-8cea-cebbdb98c1be,,,5,5,,0.039497,0.039497,0.039497
5c78cf13-8afe-4211-bf16-e7ddad93ab37,,,5,5,5,0.330392,0.330392,0.330392
6b061de1-2689-4421-b161-3d68320a1804,255435367.401600,23,5,5,,0.098687,0.098687,0.098687
7420c9cb-ae6e-4a19-9f78-3766cd1f00c5,,,5,5,,0.097115,0.097115,0.097115
782307c1-a11d-40e0-89fe-5443b74fd357,,,5,5,5,0.059787,0.059787,0.059787
e53ab9a5-a0c9-4341-afa8-17a42789dd92,,,5,5,,0.024811,0.024811,0.024811
0738ee6e-3dd5-4ed4-aa69-e70e3652ee3d,,,5,,,,,
8098cfb9-0901-4983-881d-8af9b4f412f5,,,5,5,,0.033928,0.033928,0.033928
88a27400-3d18-4bc2-aee2-4ea7280d4707,,,5,5,,0.083928,0.083928,0.083928
