id,asset used,assets
13cfeca2-71fc-4ebc-a2fe-2d94e2425d07,24,[4ec11445-adac-4f89-83d1-21dcab530993 0da2a635-54a6-4aab-8426-ac49937f768d 1482ab0b-cdd5-432a-8eb7-e96966f6e076 cae6fae6-a914-4569-9d8d-ab30754b45a9 26a51727-6d15-4b78-bba3-f3458fc7c633 79a360b0-150b-4d39-94bb-c48a441da1d9 e4687d97-3ed7-4b3b-aae3-82cbd608db5e 43ba1e97-adb9-485c-81a8-6612a572abf2 4851ee16-aa9f-4cda-a164-8741567b73a2 2579528a-78ab-4de4-8561-a7bceaee905c 5714ef54-6d8f-4013-bdd5-e1b5a241e393 5f9e271f-54bb-4399-a91f-aa537cd19857 5a3db81e-a425-4bf9-be74-a22d497deb88 0a46bc0f-1544-42cb-96d8-c2aa83207708 22c4ae00-a909-46fe-9521-dbac3ea21c0e 42bd0a20-ad6b-4841-9e2e-729beee6181d f8d947a1-672b-4cbd-b496-72040f991503 00b9fd76-c9bb-4c7f-8fe2-be6db5b7ebf1 25acf8c6-8b48-4dd8-9c3d-03733a664cc4 af980e79-0fea-44c7-b276-fee2873d9d8f 608e5403-1011-4273-bf06-95735a8d3a0b 6f69a066-7a7e-4450-96e8-7bcff2ebabf4 4772cd77-de40-4a56-a4d8-2fb47464d979 63855a31-ea91-49c8-ae7e-af052381310a]
f89eefe2-3c15-48d8-b8ca-78b0ab8f6873,7,[73e90370-2c33-4388-a5c2-1122c6658bd6 9722e336-0e4c-4023-93f3-e073a0364756 93040dc8-431d-412f-aee6-03332ced2195 365df56f-d865-404a-88a7-e01b88880dbf 9bc8f665-5c00-4d0d-beb4-2896ca369222 e8ff5363-2bbc-4056-ba66-05a1b7204f51 7af24258-334b-4d29-9250-1ba920a0d4f3]
1663e6b0-d24b-4197-8990-069ec3f699f3,55,[0507c6eb-dae3-4cc2-96af-00ac83beb7ce 25a70ca8-d9e3-4a9b-b773-d660b81662c7 d2f7ff17-37bf-4118-9d98-93f54b731a31 f6410ff7-a09b-4736-888a-7c8f5afc8004 00fd7d81-54ec-40c7-82aa-e2f6006ccae2 0ed8d518-9be5-45a7-ac1e-2d092a71ca95 207478cd-50ff-44ee-bf7e-3188a6a8e738 366c61bd-a453-451f-8378-148bb255268f 64e3c451-509e-4874-817a-58ac9ef4a12e 43847e0b-f31a-4b44-bcf2-29861347a459 d224d5e1-1228-4b9b-a592-f737a23dc0e5 120f2b7c-07df-400a-a4f8-164f694a7e65 42f7bb16-04a9-4b3e-8d23-eaaabeb6fc8d a9e13c68-930e-448d-bc1a-ef9c114d8fbc 724ca1ce-a419-4f26-9855-175e4aac7745 c38f3bf0-b067-40c9-9b36-8a5d25a06462 ff9d2a2f-cfce-473f-a1ec-bca07663521b d70b007a-132d-4660-98fc-3452a03b4f41 411ed50f-e219-4d3b-be0c-75607d0997ef a77574dd-e075-40e0-a8fe-03f4d57cf9be 716d30e2-f1bf-423e-8a0e-1d9f5ebde496 e3234a2f-0249-4ff2-a1d1-dec6f21fa91e 4ed62b38-564a-4887-922e-24617b085441 310afce0-ac81-4201-8d87-01de8f63d362 fb698a71-a804-4805-8480-b96093ac3d07 786c9ff8-fadf-428d-bcf7-342600602e92 c93d4bdd-fd84-4f7b-8c0e-f32d4f0cd241 6ac744b4-444c-480a-99a4-063f0ad56418 b639047c-a677-4237-8b74-30feecb323e6 3cf4ca66-7c48-4023-b70d-0759ce5e6763 1f00afdd-e079-4a82-b196-0cb237739648 dde4f6b4-7bd8-4257-b983-ada2fc14e849 de01251f-59c6-43d3-af09-6f44c30a66f0 5b2474e1-1478-4e37-952b-bbaa9d3f96e1 d04aacd5-245f-410a-9c20-f0e44057d324 188893f4-d021-4f13-b2b7-e9421f129cd4 a3ec8e1d-60c8-4b36-840d-10ffdfbb95f4 a762d8a1-71f6-4355-aacc-19d478cf0fd1 8aa98a71-9c93-4e47-bb7e-ac0c0148abe5 c19c27cb-8c58-405f-a017-ca77e4974cbb 8dad3f6c-a424-429b-b205-dc0784263f37 79f559e9-68e6-4f3e-a361-9873f2beb7eb f66692b5-9579-4dd2-9438-5c5e7d97c558 3606b0fb-5eb1-466b-8af7-0b5ff0503238 fe656612-0166-4acc-9a8b-1db21d724149 c2efbc8a-c698-44c5-951b-69e3c894511e 86174708-2e6f-442c-a9a9-6c565b19aae7 50683e19-318e-470b-b513-c9fa64920944 cd90200e-00e7-4b76-8c0a-9670299b3ee3 4d199464-1b0e-4fa0-832e-8e69fce10395 a0dd25bf-e35f-4a70-81aa-54db06198966 43d36516-ba60-4434-b06a-d92c7e167da3 57790647-a9ff-4dab-9363-1e5a2dc380a7 20dd5461-d3fd-4cf9-a82a-257ee8852a88 d459afb9-cb01-4205-97db-51ae43cb2bce]
4ca0d2be-fa9c-48dd-808e-a132dd8c38de,31,[99dc55ac-aa4e-4f4c-b3c8-b1bc3bf9c24d e1b2a982-cb87-4755-a98c-eb21d527b547 6cee100a-5561-4218-9d61-6addca2abe46 f2b6382d-70e1-466a-9641-2f13e5c08be0 c84a3797-55a2-468c-a64c-d2a4af41e434 13cac7ec-7c82-45b7-8efb-f2201886be1c 14b28b42-1dc8-4c06-a3ea-b73832ab3275 102880db-f0c1-431f-8c0b-2e42880a4b2d ae5d71fe-2360-41cb-b7ef-39ed76942962 349d7aeb-8dba-43e6-b7a1-294e1953cb77 42b61489-5fa7-4b9a-8939-27cd947918ac 503e6b9e-7a2b-419a-91d0-d22cd958f585 072a502e-3faa-41ca-979b-e3164042bbbc 342dabce-c1f5-48a5-b2a7-8a244f2aa9d2 b6dd4033-e324-445d-9538-54b0071da084 1808d81c-43de-4438-9d32-0390f9b1151a 194e0691-a7fa-43bc-9b26-200896331778 7184e9de-a6d3-4cf7-8ef2-20ecafa4dbf7 1713cbf0-edf5-4baf-ae1c-52e5c22da70d d22a07f9-42ce-47f8-880e-14522e728088 01dda27a-4882-4798-bd5a-c9270730e37c 48be861f-962d-4e65-bfeb-8e4fe0278de3 d91df814-17be-40b0-b530-3965cd8ba4ed 78a326f1-2998-428b-8a65-25c73e34212b 7f549d54-8bfa-41f4-a237-89a4d3f5bacb ff67b325-89b5-4aaa-9682-21916e14be79 89ef896e-8378-40af-b839-6a4ca4b808a7 f5cb0364-9ce7-464a-8d9d-5a366d1ca471 f6678fe3-38dc-4340-9f14-f9e8fd043ba7 c8856a2c-5ea3-428b-8394-866b8a35ce8c a56b0476-bb33-423d-ae29-d1cebfeab9e4]
7726b419-3ec2-48e6-828c-113c563317c8,9,[d97ee947-4b4a-4c28-94a1-77b992969906 36a27cb3-120b-4fcc-bee6-78f2caa4025c f3e0153a-aeec-4aec-84db-2ff4444d6a63 3b160a67-a976-4694-b878-ed949008a0d1 fcae85e1-a0a1-41fe-88d9-2321d0d1bd3a d55b3c8c-f8ca-4b27-867c-85af11dbc7b8 a9f54743-0e29-4768-a75e-6ab3014ea75b 4a112928-c637-4782-aab7-fd5e22c723bc 1f064b40-5512-449e-b113-52e93b7134f8]
8a4fe19d-3bce-4af1-9301-f6d2de9ce906,24,[01b70bfd-c743-4167-8abf-1a12d5603eeb bed0630f-0507-4524-a192-322678270a30 25bb7431-a241-49cd-add8-9c2b9570f048 e74f9cad-1e7f-42c2-9226-9ecbe3a3d6ed 7d98145e-ce60-4ef5-9ee5-e9f1053aea53 b4d60d41-7641-4cbb-857d-b3410f93ff5f fe31f3b8-82da-4820-b14b-b05dcc72d87a 53c8f3a4-26ce-4bee-8fdb-e7447ca7fcc6 da52a2c0-f613-4752-8715-e13549433e27 76a0de1a-c9dd-4a6f-a8a6-70b4bf002ad2 bc5c5481-f794-4ceb-83e9-d2252e465355 273ac7e9-3f16-45e2-b654-36ca3bc7571d dec1cc17-eab2-4378-8fbb-089d773c6a3e dfab0822-4dd1-4d68-91ee-f515c9396775 5ea1cdfa-a798-4e82-bd37-353a705ca79d d08e38fb-d91d-481a-b8b5-88111aae620a 2d862251-8801-4a09-a8f4-44c706d3dc09 deee6bf3-c795-4206-9fd8-5733b923f834 6a5cd816-49fe-418f-a5b6-4304e1c8600f 9773e9ce-05f6-42d2-8847-9fba8c83aea4 3d56e1c2-ac45-4e19-846c-aa11f77b7ce0 aedd5f25-3927-4e9b-bbf9-1a6e825e8741 103490f9-c2c8-43c6-b57d-66f7f5e45492 95947df9-2996-4f43-8e8e-7fdb7e5e3261]
2ae6e76e-6d21-458e-afa9-5ef41f55c9a9,9,[d338e557-b456-41ba-ab6d-f243634576c8 4129a7be-5fcd-4fcc-a5f8-a89cd909b062 a94b6092-58f3-4dcb-9b0b-b26fb7f37c84 1f268253-c66e-47ff-9756-82e3a5cd1757 1a959948-c0cc-42d3-9578-1bc8b5380d9a 0f3669cc-2b8f-45d8-a3a2-7bbe2b21b44a 539d93ed-c941-4ce5-8e22-9fdb920efd38 8b7aa824-6515-4c2c-a722-9976592201d0 9debc01b-c3cc-45d2-97c9-d430d9e2cd80]
37407bc4-fc2a-498c-8b31-7eeb99709d3c,9,[31f0ad62-1dff-42b4-b576-b09e7beedbaf 8e2d0586-d7d8-431a-a1cb-021ccdab733a 0ac3317c-1a98-472c-8756-68c22e105069 2ae18c25-0e14-4669-a752-af5cb7e1b9c2 15734cb0-9344-4033-94af-243a88a619d0 667b0e2e-b36c-4698-954f-dbc9c20ed4e4 b8b009b2-8484-4dff-b9ca-fdfe57d29906 295be486-583a-4d54-986b-45b7b4b3ac48 506b2a47-e73e-452a-9088-0e8453990d75]
fb35a92f-8637-4149-a036-01d2303e1a50,11,[3ea64934-c09b-4c21-9315-4fbb74692fdb dd0fccf7-b1e1-41ca-b96b-b32e303e9d57 1e13176e-fdda-4e94-b500-90271d316ed4 9ced2b3b-b1bf-467c-9f30-4e53afd5ea0d 084f1bbf-3b4a-4f48-bc48-2cf0594a29b6 3e473ef1-e6fc-4b2f-8b48-67bbfb258986 d0bd58a6-ae8e-483d-945a-808d4d7a91c9 4b6109bc-20c6-4590-a5bf-07662340f0b7 841f78bf-c691-4bb6-8b03-72d46709b676 8b5a3b6c-eb10-4779-b1b4-61f7b2501ca6 4b21e92b-6622-4e26-ba13-908d76ca1450]
fc551b23-e5a6-4a80-8bac-be429f87608e,5,[554c3ad2-c5b0-4084-8c30-2fbea2e271cc 7f21ac00-93b6-4313-bf8a-4f86aa0178a5 e8e5c49e-e0c2-4643-875c-aedc0e4bb6ab 479b0f6c-1bf1-4b55-a60e-4887070539f5 7444d4f1-afe8-458e-82a6-84045fd3bf25]
