id,name,shortName,country,stateProvince,sector name,countryOfRisk ID,industry name,countryOfIncorporation ID,market value,market cap,primary exchange countries ids
6611fe51-180d-495c-ad0b-07918262457c,"Corporate Restaurant Concepts, Inc.",CORPORATE RESTAURANT CONCEPTS INC,United States,KS,Consumer Services,US,Restaurants,US,17.949522,Nano,[US]
45ca02c7-7c48-4b47-932b-208f376545a8,"NuZee, Inc.",NUZEE INC,United States,TX,Consumer Non-Durables,KR,Food: Specialty/Candy,US,2.576662,Nano,[US]
c933a15d-46e2-4ab9-a2d6-139fb7162785,"Darkstar Ventures, Inc.",DARKSTAR VENTURES INC,Israel,JM,Retail Trade,US,Internet Retail,US,,,[]
3a1be423-b9f5-4001-b1af-00cbe1fec734,GIA Investments Corp.,GIA INVESTMENTS CORP,Taiwan,TP,Miscellaneous,TW,Miscellaneous,US,,,[]
9be5f20f-cc6a-4edc-a4d9-1eee4b6d7e49,"Dermira, Inc.",DERMIRA INC,United States,IN,Health Technology,US,Pharmaceuticals: Major,US,,,[]
577f432d-22a3-4d03-81c5-cef0716c3766,Makism 3D Corp.,MAKISM 3D CORP,United Kingdom,CS,Electronic Technology,GB,Computer Peripherals,US,,,[]
09c3edbb-9f99-4a38-9074-7f48247aba93,Textura Corp.,TEXTURA CORP,United States,IL,Technology Services,US,Internet Software/Services,US,,,[]
2b774123-c2d3-45db-bacc-3a91da84e7a1,"Saleen Automotive, Inc.",SALEEN AUTOMOTIVE INC,United States,CA,Retail Trade,US,Specialty Stores,US,,,[]
10263467-3589-4625-a6f3-3399d2e336ae,"SAGE Therapeutics, Inc.",SAGE THERAPEUTICS INC,United States,MA,Health Technology,US,Pharmaceuticals: Major,US,445.057556,Small,[US]
ef98f519-8ad0-425f-a3c0-db3cef32e60a,"Merion, Inc.",MERION INC,United States,CA,Health Technology,US,Pharmaceuticals: Other,US,,,[US]
43d5ea0b-ff02-4a07-a124-d819ba3ae072,First ULB Corp.,FIRST ULB CORP,United States,CA,Finance,US,Financial Conglomerates,US,,,[]
bd67ed33-8bc2-4962-886b-4c31c92b0c8a,"ScripsAmerica, Inc.",SCRIPSAMERICA INC,United States,VA,Distribution Services,US,Medical Distributors,US,0.000141,Nano,[US]
2ed8ec8b-fb33-492a-be76-dc59f63bb902,"RJS Development, Inc.",RJS DEVELOPMENT INC,China,SI,Finance,CN,Real Estate Development,CN,,,[]
b53b905c-8566-4429-95bc-45447cbd1954,"ASB Bancorp, Inc.",ASB BANCORP INC,United States,NC,Finance,US,Savings Banks,US,,,[]
a4ea0a21-d562-42ec-a3cb-b5d0812244c8,The Guitammer Co.,GUITAMMER CO,United States,OH,Electronic Technology,US,Telecommunications Equipment,US,,,[]
7dda49b0-1369-4f54-bdd9-01a6b381a48c,Prime Meridian Holding Co.,PRIME MERIDIAN HOLDING CO,United States,FL,Finance,US,Regional Banks,US,83.997124,Micro,[US]
ede3f13f-d114-48bd-90a9-236fc3749bc9,"Health Advance, Inc.",HEALTH ADVANCE INC,Canada,ON,Health Services,CA,Medical/Nursing Services,CA,0.144853,Nano,[US]
3588f6fe-2f06-4cfe-a8a8-d5871234f7a6,"Customers Bancorp, Inc.",CUSTOMERS BANCORP INC,United States,PA,Finance,US,Regional Banks,US,1438.438843,Small,[US]
1c8aa464-e621-442b-9c29-7ca14f3bc7cd,"Massive Dynamics, Inc.",MASSIVE DYNAMICS INC,United States,NY,Industrial Services,US,Engineering & Construction,US,,,[]
8ed0e823-86b8-47f1-b190-9328e8416fee,"Telaria, Inc.",TELARIA INC,United States,NY,Technology Services,US,Packaged Software,US,,,[]
672d3eb8-ad95-4277-8f3e-c88d350610cb,"China Industrial Steel, Inc.",CHINA INDUSTRIAL STEEL INC,United States,NY,Non-Energy Minerals,US,Steel,US,,,[]
4c732f2d-9e5e-4add-8559-afdb0be6350b,"Skajaquoda Group, Inc.",SKAJAQUODA GROUP INC,United States,MN,Miscellaneous,US,Miscellaneous,US,,,[]
34f1bc9f-1417-4421-8a1d-e2e84af13038,"Enova International, Inc.",ENOVA INTERNATIONAL INC,United States,IL,Finance,US,Finance/Rental/Leasing,US,2179.812500,Mid,[US]
7a9a33b7-e999-4c07-aee1-e805f0f9718e,"CIAO Group, Inc.",CIAO GROUP INC,United States,TX,Communications,US,Wireless Telecommunications,US,,,[]
acec28fa-56fe-4069-b02e-482d12e0a927,RH,RH,United States,CA,Retail Trade,US,Specialty Stores,US,6274.875488,Mid,[US]
a5e88a15-4fc3-4b9a-a92b-f1afb070ff2a,"Anpulo Food Development, Inc.",ANPULO FOOD DEVELOPMENT INC,China,HB,Distribution Services,CN,Food Distributors,US,,,[]
64a2f4b8-92a7-4808-83c3-81ba48a8cc99,"Santa Fe Petroleum, Inc.",SANTA FE PETROLEUM INC,United States,TX,Energy Minerals,US,Integrated Oil,US,0.000049,Nano,[US]
558e43e3-d1a5-4f26-8e1f-7a55d8b2f85a,"Inogen, Inc.",INOGEN INC,United States,CA,Health Technology,US,Medical Specialties,US,229.837204,Micro,[US]
7d49a430-7020-4349-a864-3f4235ac1afa,"Mesquite Energy, Inc.",MESQUITE ENERGY INC,United States,TX,Energy Minerals,US,Integrated Oil,US,,,[]
cba404f3-60fe-4b30-b7d4-47952d1148f7,"MBG Holdings, Inc.",MBG HOLDINGS INC,United States,TX,Industrial Services,US,Oilfield Services/Equipment,US,,,[]
be985246-66dd-4a1b-a6f5-0e7e369af0b2,"SCYNEXIS, Inc.",SCYNEXIS INC,United States,NJ,Health Technology,US,Pharmaceuticals: Major,US,57.920391,Micro,[US]
a5f25742-0dcd-40f3-bbce-6ae11fced25b,"Hemisphere Media Group, Inc.",HEMISPHERE MEDIA GROUP INC,United States,FL,Consumer Services,US,Cable/Satellite TV,US,,,[]
8c33c9c4-1ee8-4020-8105-83291cbd6c75,"The GNS Group, Inc.",GNS GROUP INC,United States,WA,Distribution Services,US,Wholesale Distributors,US,,,[]
c2c11b33-fac4-4d78-b79b-d15f339beab5,Genie Energy Ltd.,GENIE ENERGY LTD,United States,NJ,Utilities,US,Electric Utilities,US,406.619629,Small,[US]
ed719f63-aafb-4c94-8398-5e74a7a7d48f,"Corindus Vascular Robotics, Inc.",CORINDUS VASCULAR ROBOTICS INC,United States,MA,Health Technology,US,Medical Specialties,US,,,[]
11b1871a-f091-49b3-b9cb-4c03d3b20743,UGE International Ltd.,UGE INTERNATIONAL LTD,Canada,ON,Miscellaneous,CA,Miscellaneous,CA,,,[]
3147d355-e7c0-4871-97a4-5b45661cdfd8,"Endonovo Therapeutics, Inc.",ENDONOVO THERAPEUTICS INC,United States,CA,Health Technology,US,Medical Specialties,US,0.318752,Nano,[US]
41faea61-0521-48a3-bd0f-e0d31adf2af9,"Entellus Medical, Inc.",ENTELLUS MEDICAL INC,United States,MN,Health Technology,US,Medical Specialties,US,,,[]
46ba0b9a-dd14-4fd5-9227-97fbd03798f6,"Firemans Contractors, Inc.",FIREMANS CONTRACTORS INC,United States,TX,Commercial Services,US,Miscellaneous Commercial Services,US,0.059926,Nano,[US]
e8a2c59f-4ae3-4603-8f4b-664d82916461,Adamas Pharmaceuticals LLC,ADAMAS PHARMACEUTICALS LLC,United States,CA,Health Technology,US,Pharmaceuticals: Major,US,,,[]
5eb5e362-97e3-468b-9f1a-ac5508c9f3ca,"Petrogress, Inc.",PETROGRESS INC,Greece,GI,Finance,GR,Finance/Rental/Leasing,US,0.025300,Nano,[US]
edb31ce5-6794-40a4-8d34-3edfcba32dc8,"Gigamon, Inc.",GIGAMON INC,United States,CA,Technology Services,US,Information Technology Services,US,,,[]
23493b56-2781-43aa-ba72-4fc528593d35,Vitae Pharmaceuticals LLC,VITAE PHARMACEUTICALS LLC,United States,PA,Health Technology,US,Pharmaceuticals: Major,US,,,[]
c927e8a6-32e4-475b-9463-c1af184a6220,Sollensys Corp.,SOLLENSYS CORP,United States,FL,Technology Services,US,Packaged Software,US,0.010651,Nano,[US]
10596991-bed7-4664-a061-9c37d9a886f4,"PSH Group Holding, Inc.",PSH GROUP HOLDING INC,United States,NV,Process Industries,US,Agricultural Commodities/Milling,US,,,[US]
99b80ded-4cd1-4e91-afae-0920f1379107,"Proteon Therapeutics, Inc.",PROTEON THERAPEUTICS INC,United States,MA,Health Technology,US,Biotechnology,US,,,[]
13d4676b-ef37-429e-be2d-0e0bf94961db,Newpoint Financial Corp.,NEWPOINT FINANCIAL CORP,United States,CA,Finance,US,Financial Conglomerates,US,23.942404,Nano,[US]
