id,name,shortName,country,stateProvince,sector name,countryOfRisk ID,industry name,countryOfIncorporation ID,market value,market cap,primary exchange countries ids
69f5928c-ce45-4b9e-8ae1-267a29c7b647,Westchester County Health Care Corp. (New York),WESTCHESTER COUNTY HEALTH CARE CORP /NY/,United States,NY,Government,US,General Government,US,,,[]
b3761281-4d8a-4a4f-b16a-a4ed9a259d46,Upper Illinois River Valley Development Authority (Illinois),UPPER ILLINOIS RIVER VALLEY DEVELOPMENT AUTHORITY /IL/,United States,IL,Government,US,Local Agencies,US,,,[]
049be50b-463f-4f9c-8335-c5a3c937cf14,Trout Creek Community Development District (Florida),TROUT CREEK COMMUNITY DEVELOPMENT DISTRICT /FL/,United States,FL,Government,US,General Government,US,,,[]
06f40562-af5b-493d-8eaa-9e379362017c,Massachusetts Educational Financing Authority (Massachusetts),MASSACHUSETTS EDUCATIONAL FINANCING AUTHORITY /MA/,United States,MA,Government,US,State Agency,US,,,[]
7597f936-39fd-47fa-95f0-7fdb7eaa8eb1,Rhode Island Student Loan Authority,RHODE ISLAND STUDENT LOAN AUTHORITY,United States,RI,Government,US,State Agency,US,,,[]
c2799a7e-19a1-476e-b730-7b1e5f662ca2,James City County Economic Development Authority (Virginia),JAMES CITY COUNTY ECONOMIC DEVELOPMENT AUTHORITY /VA/,United States,VA,Government,US,Local Agencies,US,,,[]
5f6dbf22-5088-4173-bfcf-f02887e29f02,Fort Bend County Industrial Development Corp. (Texas),FORT BEND COUNTY INDUSTRIAL DEVELOPMENT CORP /TX/,United States,TX,Government,US,Local Agencies,US,,,[]
1fedda26-69ed-4eea-a2b7-b9cb0d1fd56e,Foothills Metropolitan District (Colorado),FOOTHILLS METROPOLITAN DISTRICT /CO/,United States,,Government,US,Local Agencies,US,,,[]
24d60fa9-9b8e-4230-8123-e3939a2e8c2a,Harmony Technology Park Metropolitan District No. 2 (Colorado),HARMONY TECHNOLOGY PARK METROPOLITAN DISTRICT NO 2 /CO/,United States,CO,Government,US,Local Agencies,US,,,[]
3cc41333-51e5-4d87-9069-d15fbcae5a93,Las Vegas Convention & Visitors Authority (Nevada),LAS VEGAS CONVENTION & VISITORS AUTHORITY /NV/,United States,NV,Government,US,Local Agencies,US,,,[]
