id,name,shortName,country,stateProvince,sector name,countryOfRisk ID,industry name,countryOfIncorporation ID,market value,market cap,primary exchange countries ids
dc5763b1-915e-488f-b7a3-8d2f5d081b25,Greiner Bio-One GmbH,GREINER BIO ONE GMBH,Germany,BW,Health Technology,DE,Medical Specialties,DE,,,[]
331ac102-a4fe-4b04-bbd3-62b887826c51,Koninklijke Phillips Electronics NV /Mag Hds & Modules Unit/,KONINKLIJKE PHILIPS ELECTRONICS NV /MAG HDS & MODULES UNIT/,Netherlands,,Electronic Technology,NL,Electronic Production Equipment,NL,,,[]
5eed94db-dfd6-461b-8b2f-0ebf676afc7f,Star Compass Plc,STAR COMPASS PLC,Ireland,,Finance,DE,Finance/Rental/Leasing,IE,,,[]
c5ba19f4-ae74-469a-bd0c-6babe52b59eb,Pursuit Minerals Ltd.,PURSUIT MINERALS LTD,Australia,VI,Non-Energy Minerals,AU,Other Metals/Minerals,AU,6.298785,Nano,[AU]
99543b4a-d70f-47c9-8d82-46d2629a5e4b,"Arizona Mining, Inc.",ARIZONA MINING INC,Canada,BC,Non-Energy Minerals,AU,Precious Metals,CA,,,[]
ccd58207-e118-4ba6-8e5a-ac7d073ea53c,"Æterna Zentaris, Inc.",AETERNA ZENTARIS INC,Canada,ON,Health Technology,CA,Pharmaceuticals: Major,CA,,,[]
99322bbd-f10a-43d6-909d-249152cde1a3,Almaden Minerals Ltd.,ALMADEN MINERALS LTD,Canada,BC,Non-Energy Minerals,CA,Precious Metals,CA,6.614551,Nano,[CA]
80b4e981-7430-4229-b202-d1c35e3f5796,Advantage Lithium Corp.,ADVANTAGE LITHIUM CORP,Canada,BC,Non-Energy Minerals,CN,Other Metals/Minerals,CA,,,[]
e092272a-ff1d-4424-836d-c457033f8bac,EWBN Elektrizitätswerk Brig-Naters AG,EWBN ELEKTRIZITAETSWERK BRIG NATERS AG,Switzerland,VS,Utilities,CH,Alternative Power Generation,CH,,,[CH]
60ac98c9-a335-48e7-aa50-81a04358172b,Energie Electrique du Simplon SA,ENERGIE ELECTRIQUE DU SIMPLON SA,Switzerland,VD,Utilities,CH,Electric Utilities,CH,,,[]
ef331168-7da6-4443-8b0c-5ee48a846e44,Kursaal Interlaken Holding AG,KURSAAL INTERLAKEN HOLDING AG,Switzerland,BE,Finance,CH,Real Estate Development,CH,,,[CH]
30bbc9dd-60ea-4b82-8980-b81a19ff4d45,Elektrizitätswerk Jona-Rapperswil AG,ELEKTRIZITAETSWERK JONA RAPPERSWIL AG,Switzerland,SG,Utilities,CH,Electric Utilities,CH,,,[CH]
f37b30e6-abc4-484b-a209-c25fdaef0546,Dolder Hotel AG,DOLDER HOTEL AG,Switzerland,ZH,Consumer Services,CH,Hotels/Resorts/Cruise lines,CH,,,[]
d8eb6fa0-d456-4b0c-9e63-71d0ddfe2497,Davos Klosters Bergbahnen AG,DAVOS KLOSTERS BERGBAHNEN AG,Switzerland,GR,Transportation,CH,Railroads,CH,,,[]
4bd9cfa2-1106-493a-8ea8-2eaa1f079770,Kongresshaus Zürich AG,KONGRESSHAUS ZUERICH AG,Switzerland,ZH,Finance,CH,Real Estate Development,CH,,,[CH]
394bb9f2-564e-4901-8491-15707d80aa92,Kursaal Bern AG,KURSAAL BERN AG,Switzerland,BE,Consumer Services,CH,Hotels/Resorts/Cruise lines,CH,50.858188,Micro,[CH]
ee46daaf-0124-4e77-9cd4-43318d016971,Grand Resort Bad Ragaz AG,GRAND RESORT BAD RAGAZ AG,Switzerland,SG,Consumer Services,CH,Hotels/Resorts/Cruise lines,CH,,,[CH]
5f1777cc-585e-48a1-9a68-19af3eaf4d31,Andermatt-Sedrun Sport AG,ANDERMATT SEDRUN SPORT AG,Switzerland,UR,Consumer Services,CH,Hotels/Resorts/Cruise lines,CH,,,[CH]
897725a1-5cd6-4ad3-92c8-eefdbdb5d35e,Aletsch Riederalp Bahnen AG,ALETSCH RIEDERALP BAHNEN AG,Switzerland,VS,Consumer Services,CH,Media Conglomerates,CH,,,[]
8d01fd4a-fbd0-4edf-865a-4622d7a4c7ba,Agruna AG,AGRUNA AG,Switzerland,ZH,Finance,CH,Investment Managers,CH,,,[CH]
4d943aea-65fa-44c1-a49e-30d35496f7d6,Cité des Bains SA,CITE DES BAINS SA,Switzerland,VD,Consumer Services,CH,Other Consumer Services,CH,,,[]
