id,name,shortName,country,stateProvince,sector name,countryOfRisk ID,industry name,countryOfIncorporation ID,market value,market cap,primary exchange countries ids
d9063937-b058-4c6f-bda4-8359f343fcb4,PT Indo Straits Tbk,PT INDO STRAITS TBK,Indonesia,JK,Transportation,ID,Other Transportation,ID,10.112129,Nano,[ID]
00501e15-2447-4652-a97e-03eb88dfe67f,Westa International Scientific Industrial Corp.,WESTA INTERNATIONAL SCIENTIFIC INDUSTRIAL CORP,Ukraine,DN,Miscellaneous,UA,Miscellaneous,LU,,,[]
3adbdca5-3806-48d4-8e22-cdc109e9c2d0,PT Visi Media Asia Tbk,PT VISI MEDIA ASIA TBK,Indonesia,JK,Consumer Services,ID,Broadcasting,ID,6.531280,Nano,[ID]
29d24a5e-3a0e-4725-8712-bd87c5b01320,Multi Finance Plc,MULTI FINANCE PLC,Sri Lanka,WE,Finance,LK,Finance/Rental/Leasing,LK,2.662138,Nano,[LK]
a35bd2d7-6caf-494a-8547-35d91f587170,STROC Industrie SA,STROC INDUSTRIE SA,Morocco,GC,Industrial Services,MA,Engineering & Construction,MA,7.916069,Nano,[MA]
93be3004-173c-454e-aa71-6bec855c1cc4,Mercantile Investments & Finance PLC,MERCANTILE INVESTMENTS & FINANCE PLC,Sri Lanka,WE,Finance,LK,Finance/Rental/Leasing,LK,20.128566,Nano,[LK]
1f3efae8-bf7b-4bce-9c3f-8e7cd5016fbe,Höegh Evi Ltd.,HOEGH EVI LTD,Bermuda,HA,Transportation,BM,Other Transportation,BM,,,[]
d04bb75d-a10a-499d-b6ef-ebcdebb339a1,I Yuan Precision Industrial Co. Ltd.,I YUAN PRECISION INDUSTRIAL CO LTD,Taiwan,,Consumer Durables,TW,Automotive Aftermarket,TW,55.145531,Micro,[TW]
aa312d35-df09-46ba-a13a-bb1f92acf533,Pro CLB Global Ltd.,PRO CLB GLOBAL LTD,India,DE,Commercial Services,IN,Miscellaneous Commercial Services,IN,1.128530,Nano,[IN]
ba24c4e0-40d2-446f-94be-c059fbb78447,"Ledlink Optics, Inc.",LEDLINK OPTICS INC,Taiwan,TP,Electronic Technology,CN,Electronic Components,TW,59.401865,Micro,[TW]
b4eec5bb-c631-41af-bf6d-4707f6ced48f,National Credit Bank Ukraine,NATIONAL CREDIT BANK UKRAINE,Ukraine,KC,Finance,UA,Regional Banks,UA,,,[]
5c4a78a2-4ac6-42b8-8d9d-31bd71d1200f,Vallibel One Plc,VALLIBEL ONE PLC,Sri Lanka,WE,Distribution Services,LK,Wholesale Distributors,LK,195.233975,Micro,[LK]
fb9f7906-ff0a-49db-833a-6583c80ece1e,"Glorywin Entertainment Group, Inc.",GLORYWIN ENTERTAINMENT GROUP INC,United States,NV,Non-Energy Minerals,US,Forest Products,US,155.496811,Micro,[US]
e970ff1f-1aaa-4a18-83cc-ede022558aa6,Browns Investments Plc,BROWNS INVESTMENTS PLC,Sri Lanka,WE,Process Industries,LK,Agricultural Commodities/Milling,LK,283.853397,Micro,[LK]
b266e714-b14b-497d-a885-66e454968833,PT Jaya Agra Wattie Tbk,PT JAYA AGRA WATTIE TBK,Indonesia,JK,Process Industries,ID,Agricultural Commodities/Milling,ID,129.863617,Micro,[ID]
e2f2cf2e-2579-4acc-8499-c7893b06262b,Best Food Holding Co. Ltd.,BEST FOOD HOLDING CO LTD,Hong Kong,,Consumer Services,CN,Restaurants,KY,132.027566,Micro,[HK]
4887b3a1-e48e-492f-ace7-61cc4b227bae,AMW Capital Leasing & Finance Plc,AMW CAPITAL LEASING & FINANCE PLC,Sri Lanka,WE,Finance,LK,Finance/Rental/Leasing,LK,1.406187,Nano,[LK]
8a4b35fe-58f0-43e9-8b4f-b25076f827b0,Essar Shipping Ltd.,ESSAR SHIPPING LTD,India,MA,Transportation,ID,Other Transportation,IN,109.424457,Micro,[IN]
81b6fcc3-084a-4b13-9bfe-ad5f421a035f,Ovostar Union Public Co. Ltd.,OVOSTAR UNION PUBLIC CO LTD,Cyprus,NI,Process Industries,UA,Agricultural Commodities/Milling,CY,109.898733,Micro,[PL]
f8748e6d-ec4f-46b9-81b9-defc23ba3496,Velebit Osiguranje dd,VELEBIT OSIGURANJE DD,Croatia,ZB,Finance,SI,Insurance Brokers/Services,HR,,,[]
a1dc61e0-4edf-44b1-b701-f431860cb8f2,Humanitas dd,HUMANITAS DD,Croatia,OB,Consumer Durables,HR,Homebuilding,HR,,,[]
efaf544c-00f8-4c76-8f76-297892ccb0d1,Redwood Group Ltd. (Cayman),REDWOOD GROUP LTD /CAYMAN/,Cayman Islands,GT,Commercial Services,SG,Miscellaneous Commercial Services,KY,72.942765,Micro,[TW]
dec739d4-c946-4924-aceb-83cf8969bd45,TVD Holdings Public Co. Ltd.,TVD HOLDINGS PUBLIC CO LTD,Thailand,BM,Commercial Services,TH,Advertising/Marketing Services,TH,10.563791,Nano,[TH]
