id,name,shortName,country,stateProvince,sector name,countryOfRisk ID,industry name,countryOfIncorporation ID,market value,market cap,primary exchange countries ids
598480da-9ba2-4c3c-a84c-3cf66ff14402,HSBC Actions France,HSBC Actions France,France,,Miscellaneous,HK,Investment Trusts/Mutual Funds,FR,,,[]
1d49a7d3-59a6-4d6c-8326-5204929c4dfa,CTV - Strategiefonds - Renten Defensiv,CTV STRATEGIEFONDS RENTEN DEFENSIV,Luxembourg,,Miscellaneous,DE,Investment Trusts/Mutual Funds,LU,,,[]
8a2213ca-1266-4f53-a757-689783070d09,ETFMG Prime Mobile Payments ETF,ETFMG PRIME MOBILE PAYMENTS ETF,United States,,Miscellaneous,US,Investment Trusts/Mutual Funds,US,,,[]
cd404e2e-102d-41c0-87ea-405acd73347c,Archer Multi - Wordwide,ARCHER MULTI WORDWIDE,Luxembourg,,Miscellaneous,FR,Investment Trusts/Mutual Funds,LU,,,[]
843543f4-cccf-4641-860c-55b28ec1038e,MV Immoxtra Schweiz Fonds,MV Immoxtra Schweiz Fonds,Switzerland,,Miscellaneous,CH,Investment Trusts/Mutual Funds,CH,,,[]
441e3527-a65d-45c4-bf1b-f50239620520,Vanguard Canadian Aggregate Bond Index ETF,VANGUARD CANADIAN AGGREGATE BOND INDEX ETF,Canada,,Miscellaneous,US,Investment Trusts/Mutual Funds,CA,,,[]
5ea39e56-39a2-4607-abc4-eb73fc9b3e74,iShares 1-5 Year Laddered Government Bond Index ETF,ISHARES 1 5 YEAR LADDERED GOVERNMENT BOND INDEX ETF,Canada,ON,Miscellaneous,US,Investment Trusts/Mutual Funds,CA,,,[]
9d54f6c0-6b8f-4e96-bb60-4684a6c42685,Schroder ISF - Italian Equity,SCHRODER ISF ITALIAN EQUITY,Luxembourg,,Miscellaneous,GB,Investment Trusts/Mutual Funds,LU,,,[]
9e2bc781-98e3-4782-b57d-fcb55a7bffdf,iShares Germany Govt Bond UCITS ETF,ISHARES GERMANY GOVT BOND UCITS ETF,Ireland,,Miscellaneous,US,Investment Trusts/Mutual Funds,IE,,,[]
7eeea07c-a6d8-42a1-b97b-27e198255cac,RBC Funds (Lux) - Emerging Markets Equity Fund,RBC FUNDS LUX EMERGING MARKETS EQUITY FUND,Luxembourg,,Miscellaneous,CA,Investment Trusts/Mutual Funds,LU,,,[]
26fdc9ba-e9cc-4a76-b702-30130548cd9b,iShares Russell Top 200 Growth ETF,ISHARES RUSSELL TOP 200 GROWTH ETF,United States,,Miscellaneous,US,Investment Trusts/Mutual Funds,US,,,[]
4fb17e9f-3549-47d7-92ea-e462dca4de8b,Invesco S&P 500 Pure Growth ETF,INVESCO S&P 500 PURE GROWTH ETF,United States,GA,Miscellaneous,US,Investment Trusts/Mutual Funds,US,,,[]
f32dd22b-d13d-41e2-9e32-74921fe81ec8,UBS (Lux) Equity Fund – Biotech (USD),UBS LUX EQUITY FUND – BIOTECH USD,Luxembourg,,Miscellaneous,CH,Investment Trusts/Mutual Funds,LU,,,[]
84d46bfa-5948-42c4-8d22-0f3340498257,Lyrical US Value Equity Fund,Lyrical US Value Equity Fund,United States,,Miscellaneous,US,Investment Trusts/Mutual Funds,US,,,[]
4f56ed0f-6e1e-4c5d-95b3-7a72bc7c3551,Invesco Dorsey Wright Developed Markets Momentum ETF,INVESCO DORSEY WRIGHT DEVELOPED MARKETS MOMENTUM ETF,United States,,Miscellaneous,US,Investment Trusts/Mutual Funds,US,,,[]
3b7cde85-ad3e-4bc0-9163-cc88bac63d35,iShares USD Treasury Bond 1-3yr UCITS ETF USD (Acc),ISHARES USD TREASURY BOND 1-3YR UCITS ETF USD ACC,Ireland,,Miscellaneous,US,Investment Trusts/Mutual Funds,IE,,,[]
69577a55-7a09-4c7d-89f1-556237897433,GAM Multibond - Global Inflation Linked Bond,GAM MULTIBOND GLOBAL INFLATION LINKED BOND,Luxembourg,,Miscellaneous,GB,Investment Trusts/Mutual Funds,LU,,,[]
712c298e-52ad-41d9-bab7-63003438f888,Direxion Daily CSI 300 China A Share Bull 2X Shares,DIREXION DAILY CSI 300 CHINA A SHARE BULL 2X SHARES,United States,,Miscellaneous,US,Investment Trusts/Mutual Funds,US,,,[]
e8e51460-d64a-418d-b30c-dc2f3e3c94c8,GAM MP SPC Inc. - Focus Alternatives Segregated Portfolio,GAM MP SPC INC FOCUS ALTERNATIVES SEGREGATED PORTFOLIO,British Virgin Islands,,Miscellaneous,GB,Investment Trusts/Mutual Funds,VG,,,[]
2febd973-c78a-42b4-acc3-4d452176550e,Dominice US Equities Plus,DOMINICE US EQUITIES PLUS,Switzerland,,Miscellaneous,CH,Investment Trusts/Mutual Funds,CH,,,[]
e52ad8ab-9802-44af-848f-bbc29d3a949f,Invesco Funds Series - Global Real Estate Securities Fund,INVESCO FUNDS SERIES GLOBAL REAL ESTATE SECURITIES FUND,Ireland,,Miscellaneous,US,Investment Trusts/Mutual Funds,IE,,,[]
4f5ffc4a-6fd3-4637-b946-226e664f4774,Direxion Daily Gold Miners Index Bull 2x Shares,DIREXION DAILY GOLD MINERS INDEX BULL 2X SHARES,United States,,Miscellaneous,US,Investment Trusts/Mutual Funds,US,,,[]
899d963d-04ad-4329-8d27-4931ad52919b,SSgA (Lux) SICAV - Euro Corporate (ex-Financials) Bd. In. Fd.,SSGA LUX SICAV EURO CORPORATE EX FINANCIALS BD IN FD,Luxembourg,,Miscellaneous,US,Investment Trusts/Mutual Funds,LU,,,[]
aaf7801d-5da0-4b14-b395-b0cb86868d60,Global X MSCI Norway ETF /Old/,GLOBAL X MSCI NORWAY ETF /OLD/,United States,,Miscellaneous,KR,Investment Trusts/Mutual Funds,US,,,[]
