id,horizonMD,horizonNoVolumes,horizonVolumes,esHistInno30D-Arcanist,esHistInno30D-ArcanistMD,esHistInno30D-Recco
6ed4675d-1e83-409d-ba13-daa2bdc6e7d0,0,0,10,1.140175,1.000000,1.000000
fc666c12-8dd3-4348-b57e-4284872e90f2,0,,,,,
a7e97042-7a0e-45bd-a812-43bcbcea5588,0,0,10,0.560894,0.491937,0.491937
02cd30e5-ad3e-44cc-901e-e53d41348138,0,0,10,0.396153,0.347449,0.347449
64f1ee55-8bde-4b68-ad4b-4fa197a3a84d,0,0,10,0.342367,0.300275,0.300275
57285005-fbb0-47e4-8188-d2b8aefdbbcb,0,,,,,
42eb7827-8b61-4c34-a336-a0e6702e35e6,0,0,10,0.068857,0.059632,0.059632
0eabb4f3-6b8f-4de1-8a50-b9e4e3bae87e,0,0,10,0.721631,0.632912,0.632912
b167a9d8-9b52-43d9-a5c9-a6585a117b4b,0,0,10,0.128236,0.111056,0.111056
312b5206-36d7-4c08-ac70-2a0a36a3b22f,0,0,10,0.223397,0.195932,0.195932
45fb0e44-e5bd-4e18-8065-950ff66344e7,10,10,10,0.317939,0.321989,0.321989
18bbe7e8-e4fc-43c7-8a7b-3100c5b2cfc8,0,,,,,
0c68ed06-4d4e-42b7-bcbe-4d921611e8cc,0,0,0,,,
d035c700-3a3c-449f-a9a4-35361e238317,0,0,10,,,
ec27bb2b-b0c0-449d-9ce8-0da89c0aacf2,0,0,10,0.384227,0.332751,0.332751
4094ac62-f673-491c-8223-caaee2b556c6,0,0,10,0.399454,0.350344,0.350344
f131e90b-ff37-413a-8cd5-a2cff51365d2,0,0,10,-0.000000,-0.000000,0.000000
e5b10c29-38e3-41a2-a0ac-f9c1f863f2c3,0,0,10,0.237656,0.211163,0.211163
9aa86638-cd55-48d5-b89e-22c66e3cd0e8,0,0,10,0.434269,0.380879,0.380879
81bf9f6f-90c1-41ae-87c5-1e9447d088a9,0,0,10,1.154624,0.999933,0.999933
4b68476a-1994-4512-a9a5-cf3d048e1980,0,0,10,0.119092,0.104451,0.104451
af13aee7-096b-4b58-99c5-aecb6247c1f6,0,0,10,0.128854,0.111591,0.111591
2d67bb9e-fd8f-45d3-807e-a8f1651bb55a,0,0,0,,,
98cf9c78-a9fe-4d87-b7b0-355552dec8e2,0,0,10,0.525070,0.454724,0.454724
cc33ffbf-e3d2-4cf4-a903-5b1922be8e4e,0,0,10,0.309676,0.282694,0.282694
f3df1009-5753-47ab-ac4a-29b6fab6fda3,0,0,10,0.169206,0.148403,0.148403
212eb774-ac1c-4fbf-8c40-2f2e72d27478,0,0,10,0.729510,0.639823,0.639823
254dd707-834e-4445-9351-014d74a54ccc,0,0,10,0.810761,0.711085,0.711085
4e61bebe-f15b-4108-a838-be4859494a9a,0,0,10,0.814011,0.704954,0.704954
