id,ytm,ytw,ytc,ytp
943dcf06-0086-43cf-a05e-967b7c90ec96,0.056736,0.056736,,
df797bc5-d1e7-4687-afbe-d105051c6a0c,-0.995987,-0.995987,,
44af4303-27f9-4afe-83b4-7b7e23191d62,0.062700,0.062700,,
ec243d98-e4fd-4dce-8f9a-fbb257190e54,-1.605654,-1.605654,,
9a9404a8-4c81-4af3-9c71-2b4e40a11943,0.052652,0.052652,,
3fcbd00c-3d1b-480d-b7e6-31090879da56,0.055139,0.055139,,
d86ebe7b-c361-407f-a542-80b393035c43,0.056915,0.056915,,
017de1be-a917-4c84-9dc4-c36b7a811b5f,-0.347566,-0.347566,,
bc0e5da6-268c-49fb-b1b9-6eb9749cb089,0.085795,0.085795,,
f0ee13f0-684f-4e95-8d09-ae830cd3674a,0.055232,0.055232,,
41bbeb83-0d49-4623-a2f5-1a075b0156ed,0.053027,0.053027,,
5609e783-bbca-4da0-94c3-e6e3ab6e95df,0.053134,0.053134,,
36efc5ac-ae4c-4863-bd06-26bb54ae5817,0.053066,0.053066,,
d8c99008-5fe7-4d0e-9f9b-01ec046ead00,0.051731,0.051731,,
31b6ae39-2ffc-4b7b-bf33-20c3ef0a132e,0.056866,0.056866,,
32e784b6-0afc-4031-9b30-c41fe84a1bb1,0.057741,0.057741,,
6794ad22-8ad3-4bc7-b88a-12754839a9a7,0.057010,0.057010,,
757a23b8-a8d1-4409-aeee-5582848a0632,-0.200676,-0.200676,,
6401ba7a-355e-49a8-b47e-ecb0b4c0110a,1.126162,1.126162,,
ddf8306e-63b9-40a2-b260-153737ab1f90,-0.577777,-0.577777,,
fb396921-1a1b-44c6-89f1-51157799dcb4,-0.405537,-0.405537,,
015c33b5-ce51-40a0-bd0c-51913c31e12c,0.057248,0.057248,,
52b77021-0fc0-460c-a568-2dceb857fc71,0.053091,0.053091,,
f42146e9-1607-46e4-9e3d-532e0b28a696,0.094345,0.094345,,
05a40cae-41c2-432b-b298-d493281646f7,-0.690149,-0.690149,,
3fd79045-090d-480e-894d-5638b24df41e,0.053106,0.053106,,
03af8deb-786c-4a60-8bf7-326542c1bbe0,0.066568,0.066568,,
4cbacb8a-20e2-4335-8f87-5a218cd08090,-0.010575,-0.010575,,
10143ea2-16af-4ce1-9967-93649c48b736,0.044811,0.044811,,
e67e3304-44c2-46ee-b1bc-2cc8df8fea4b,0.052128,0.052128,,
1d1fde7a-9cce-4164-a985-71a7cc8782c2,0.139121,0.139121,,
507868cf-11cf-4d3f-b525-3acc870ef30b,0.076065,0.076065,,
38091360-8c67-4857-bd05-e860d070f3fc,0.081978,0.081978,,
3d218dc8-01af-489f-bceb-5942970e69da,0.058437,0.058437,,
974e441d-14c9-4de6-9e0e-41ac4365a141,-0.912056,-0.912056,,
63012878-394d-4c31-9785-c565fb4093ed,0.053072,0.053072,,
51579444-69d7-4975-aed7-c0a8e7d14442,0.129955,0.129955,,
4d7ca155-03ef-48c8-ae78-c0a04c0d4a25,0.067854,0.067854,,
61d991a1-6b2c-482e-a241-71bbd58c3396,0.059755,0.059755,,
f0389d73-b733-4557-b521-91213243ff6d,0.052958,0.052958,,
3d54f968-be71-4776-8b61-c233ff3f09b0,0.053355,0.053355,,
44598013-db15-48b3-8566-01d5c0d8f120,0.060701,0.060701,,
326bd980-3d8d-4ba4-827d-b71a87cc5b30,0.060404,0.060404,,
79defead-6385-46b9-9684-3c3e057a1227,0.057394,0.057394,,
43d56973-ed5e-4f84-8e85-658223c9d1e1,0.064337,0.064337,,
7db0b140-247b-480e-b0bf-1438ae064279,-0.194183,-0.194183,,
fe3b2998-7abd-451f-a658-c99b17d34ddd,0.047152,0.047152,,
90903915-d0c8-4be2-8493-f06c55ff3fce,0.248939,0.248939,,
e336e2a6-53b7-4fc5-ad19-2defd2050d90,0.051244,0.051244,,
fb14e4c9-ff77-4828-bc35-089a76c25f6c,0.052903,0.052903,,
82638c5f-78f2-4f27-b961-eb9d37fbbb63,-0.335516,-0.335516,,
06ff62f8-ac46-4a49-b30e-0f33f0c79ade,0.065875,0.065875,,
daef4a3e-ee29-42fa-8ec1-ccd584396783,-1.216173,-1.216173,,
26c1f0a1-3d8b-46f8-8ed8-905b2be9ade3,-0.295594,-0.295594,,
c780da57-4452-4e18-a7b5-3e41ccf65273,-0.177218,-0.177218,,
b30b446c-c88a-4016-8986-fd7358096a52,0.052518,0.052518,,
3251338a-2128-46d4-99c4-bd4d261dbb65,-1.162092,-1.162092,,
c4b90c94-7d04-4ea1-887f-434b2dc4e5b4,0.047041,0.047041,,
96efa6a9-1e3b-4c8d-902c-f55e4bb1a03b,0.116835,0.116835,,
6e9a2cc6-72e4-4fe5-ba99-197fc098fb62,0.059081,0.059081,,
f9fa837b-91ee-4e21-8130-31e51f79003f,0.103352,0.103352,,
55761c89-40b4-4e0f-875d-b03dad8a23fb,0.061587,0.061587,,
b92aa3a1-be4a-4f38-ad87-19bb30ef095e,0.059234,0.059234,,
d423d62e-dfac-4d1f-a167-942f263d74cb,0.000035,0.000035,,
799e71c4-22c1-42df-9179-1f472ac7d764,0.053860,0.053860,,
7dfcbd3f-4069-452a-b14f-4ff92b02c4d7,0.057698,0.057698,,
208c3f0c-dd23-420d-a13d-3acdee679825,1.126423,1.126423,,
ab39e90a-35ba-4dd9-a069-6d3e69ca34d5,0.053190,0.053190,,
c88cb906-6d5c-4b1e-8a95-c23cfe025ff5,0.050513,0.050513,,
145b7fb0-531e-432d-b331-703436bbd339,-0.040575,-0.040575,,
382c0e97-df00-4853-b8c1-9c44104babf3,-0.136702,-0.136702,,
d07cba45-31e7-4d8f-9840-f6a530f0008c,0.053309,0.053309,,
b2afa682-2e8d-4775-b5c4-ec9ab8976c53,0.062960,0.062960,,
c4982d0f-d42f-4c77-8732-3e8632f3df00,0.052830,0.052830,,
2a9753bd-11e5-4059-9aaf-68bc5a6ea1b1,0.051109,0.051109,,
712c7033-57cf-45ec-be72-dd42154ec5b9,1.206455,1.206455,,
e95027ff-2180-4520-8f98-b5e6879a0456,1.164921,1.164921,,
61cdee78-6cd4-4326-9591-e49384cb0d30,-0.663349,-0.663349,,
96d24e4c-085a-4959-8b3e-47d9c64d1705,-0.248209,-0.248209,,
8420a429-7622-47e6-b386-e4c3fe1a57c6,0.069196,0.069196,,
8888c83e-391f-41da-8614-fc8db2166076,0.058029,0.058029,,
15bdafe6-c93a-4398-b62c-12e8559270a5,-0.992439,-0.992439,,
b768538d-cf10-49de-8af1-7d31cc855fd6,-0.638560,-0.638560,,
c63aa8f6-a4f1-47ad-8aba-b13a49867fe2,0.125443,0.125443,,
20b1858f-0b84-4373-a605-231d3f74a6de,-0.663349,-0.663349,,
69a513b5-ab72-4ba5-a464-fdbc9f58266a,0.029305,0.029305,,
99d12571-f905-48ef-9363-537e81433398,0.053371,0.053371,,
262113bd-7d61-48ad-95d7-649c2ccfeea7,0.151526,0.151526,,
1f1ff689-722f-4629-b9bd-e8d9cf362d95,0.024713,0.024713,,
6fa17758-e10f-45d1-b805-a701161253e7,0.049984,0.049984,,
8026a60b-41f2-484d-a528-d19cc77d0a46,0.042985,0.042985,,
6607b290-5931-4475-94d4-5324c9b475be,0.048212,0.048212,,
9cde1060-65fe-4860-abd4-5cd13566f286,0.308626,0.308626,,
cbcca33a-c486-4902-b4da-2b3f9d11914d,0.059151,0.059151,,
cdb1a1da-004c-4005-8ede-0460d6f650b8,0.053970,0.053970,,
3aee2455-98bb-41aa-9bdc-fa1787f7abdd,0.057401,0.057401,,
354263aa-5af8-4836-b8db-7e59610ef4c9,0.060434,0.060434,,
7a509fe4-9b4c-409a-8dc9-e77e1369615c,-0.396222,-0.396222,,
ee97a87e-0761-45af-be8d-edaa1ddd6b23,0.062769,0.062769,,
0860b564-5917-41b4-823b-960e6a1d82d2,0.054662,0.054662,,
eb39f466-a87e-44f3-8ab0-12a3c2849808,0.055026,0.055026,,
81f90c2a-7be4-4636-9c74-1692f3036105,0.387033,0.387033,,
0be658ec-dbbc-4d62-9fd5-0dc8a10cbc61,-0.472999,-0.472999,,
0121c632-5612-4117-8b0f-c19b7ca9a4a7,-0.600297,-0.600297,,
ec0f0ba4-c1a0-4533-bc13-2934ec872c8f,-0.154955,-0.154955,,
4fafd5a1-00af-4883-bb71-e82e03925736,0.058033,0.058033,,
7888636d-8139-41ef-b99f-0a1d378595b7,0.090885,0.090885,,
8986c321-5cf5-474b-855e-987d3b9d99de,0.091698,0.091698,,
712c7ecf-4c68-40d6-8b41-c6160994b0f3,0.482265,0.482265,,
